"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"100549","SN 2021ahpl","15:15:57.940","-19:17:31.96","SLSN-I","0.051","","","Pan-STARRS, ATLAS, ZTF, GaiaAlerts, AMPEL","Pan-STARRS, ATLAS, ZTF, GaiaAlerts","ePESSTO+","AMPEL; ATLAS; GaiaAlerts; Pan-STARRS; ZTF","PS22bca","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","21.03","w-P1","2021-04-09 11:43:55.776","PS2_Bot1","","2022TNSTR.358....1C","2022TNSCR.583....1S",""
"83758","SN 2021mju","16:41:47.593","+19:21:53.71","SN II","0.028","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS; ZTF","ZTF21aasksnl","P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","20.7086","r-ZTF","2021-04-08 09:37:22.080","ZTF_CLU_PUBLIC","","2021TNSTR1645....1D","2022TNSCR2319....1S",""
"83063","SN 2021lji","15:20:53.831","+02:12:47.87","SLSN-I","0.12","","","SGLF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ePESSTO+","ATLAS; Pan-STARRS; SGLF; ZTF","ZTF21aaxtgsv","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","20.445","g-ZTF","2021-04-20 09:04:17.000","Perez-Fournon","","2021TNSTR1497....1M","2021TNSCR1783....1C",""
"83022","SN 2021lht","11:42:04.083","-04:12:44.79","SN Ia","0.055","","","ZTF, AMPEL","ZTF","ZTF","ZTF","ZTF21aarguvb","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.02","g-ZTF","2021-04-01 06:36:00.000","ZTF_Bot1","","2021TNSTR1477....1F","2021TNSCR1502....1S",""
"83021","SN 2021lhs","20:09:58.220","+01:13:09.71","SN Ia","0.08","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21aaxzdxd","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.89","g-ZTF","2021-05-01 10:59:31.200","ZTF_Bot1","","2021TNSTR1477....1F","2021TNSCR1502....1S",""
"82970","SN 2021lft","17:12:05.980","+40:20:42.88","SN IIn","0.076","","","ANTARES, ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","YSE","ANTARES; ATLAS; Pan-STARRS; ZTF","","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","NOT - ALFOSC","1","1","","21.19","g-ZTF","2021-04-06 10:19:12.000","Aleo","","2021TNSTR1467....1A","",""
"82908","SN 2021ldj","18:00:40.884","+37:16:31.76","SN Ia","0.073","","","ALeRCE, ATLAS, Fink, AMPEL","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21aaxvnjy","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.8765","r-ZTF","2021-04-30 09:44:02.000","ALeRCE","","2021TNSTR1444....1M","2021TNSCR1527....1S",""
"82902","SN 2021ldd","20:28:24.290","+02:01:08.58","SN Ia","0.08","WISEA J202824.46+020108.5","","ALeRCE, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF21aaxzkfe","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.5693","g-ZTF","2021-05-01 10:34:24.997","ALeRCE","","2021TNSTR1444....1M","2021TNSCR1650....1S",""
"82859","SN 2021lbm","08:22:42.160","+71:51:05.37","SN Ia","0.1","","","SGLF, Fink, AMPEL, ATLAS","ZTF, ATLAS","ZTF","ATLAS; SGLF; ZTF","ZTF21aaynlsf","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.34","r-ZTF","2021-05-01 04:44:57.000","Perez-Fournon","","2021TNSTR1454....1P","2021TNSCR1635....1S",""
"82818","SN 2021kzx","16:03:54.503","+27:51:47.00","SN Ia-91T-like","0.089","","","YSE, ATLAS","Pan-STARRS, ATLAS","YSE","ATLAS; Pan-STARRS","PS21dmo","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, PS1 - GPC1","NOT - ALFOSC","1","1","","20.18","r-Sloan","2021-04-30 10:45:07.200","YSE_Bot1","","2021TNSTR1442....1J","2021TNSCR1481....1A",""
"82790","SN 2021kyv","14:27:55.288","+33:00:07.48","SN","0.1","","","YSE, ALeRCE, ATLAS","Pan-STARRS, ZTF, ATLAS","YSE","ATLAS; Pan-STARRS; ZTF","PS21dme","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","NOT - ALFOSC","1","1","","20.8","r-Sloan","2021-04-29 10:24:57.600","YSE_Bot1","","2021TNSTR1423....1J","2021TNSCR1462....1A",""
"82784","SN 2021kyp","13:40:05.895","+29:26:51.63","SN Ia","0.12","SDSS J134005.78+292652.9","","ALeRCE, YSE, ATLAS","ZTF, Pan-STARRS, ATLAS","YSE","ATLAS; Pan-STARRS; ZTF","ZTF21aaxsofj","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","NOT - ALFOSC","1","1","","19.55","g-ZTF","2021-04-30 05:43:46.004","ALeRCE","","2021TNSTR1413....1F","2021TNSCR1461....1A",""
"82773","SN 2021kye","15:43:54.320","+26:14:48.01","SN Ia","0.08157","SDSS J154354.03+261450.9","0.08157007","ALeRCE, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF21aaxvrva","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.7267","r-ZTF","2021-04-30 08:34:37.001","ALeRCE","","2021TNSTR1413....1F","2021TNSCR1575....1S",""
"82766","SN 2021kxx","17:26:25.500","+29:07:34.28","SN Ia","0.07","SDSS J172625.49+290733.8","","ALeRCE, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF21aaxzbrn","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.0792","r-ZTF","2021-04-30 09:09:29.998","ALeRCE","","2021TNSTR1413....1F","2021TNSCR1574....1D",""
"82760","SN 2021kxr","10:40:44.884","+45:09:44.87","SN Ib","0.052068","KUG 1037+454B","0.052068","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21aayddkn","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.4435","g-ZTF","2021-04-30 04:20:51.999","ALeRCE","","2021TNSTR1413....1F","2021TNSCR1879....1D",""
"82739","SN 2021kww","13:27:59.140","+24:22:54.91","SN IIb","0.023","SDSS J132759.26+242254.7","","ALeRCE, GaiaAlerts, Fink, ATLAS, Pan-STARRS","ZTF, GaiaAlerts, ATLAS, Pan-STARRS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF21aayfnjz","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","20.5758","g-ZTF","2021-04-30 05:43:46.004","ALeRCE","","2021TNSTR1413....1F","2021TNSCR1664....1D",""
"82732","SN 2021kwp","16:45:56.167","+02:27:32.72","SN Ia","0.09","SDSS J164556.19+022733.0","","ALeRCE, ATLAS, Fink","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21aayggyo","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.0423","g-ZTF","2021-04-30 10:53:49.004","ALeRCE","","2021TNSTR1413....1F","2021TNSCR1650....1S",""
"82727","SN 2021kwk","18:30:34.300","+23:07:49.73","SN Ia","0.08","WISEA J183034.09+230747.6","","ALeRCE, ATLAS, Fink, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF21aaygmiu","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.4001","r-ZTF","2021-04-30 09:38:35.002","ALeRCE","","2021TNSTR1413....1F","2021TNSCR1527....1S",""
"82726","SN 2021kwj","18:19:49.510","+56:10:01.20","SN IIn","0.025","WISEA J181949.35+561011.3","","ALeRCE, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF21aaygmrl","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT","1","1","","20.4061","g-ZTF","2021-05-01 10:08:06.996","ALeRCE","","2021TNSTR1413....1F","2021TNSCR1786....1P",""
"82717","SN 2021kwa","12:30:33.752","+11:31:04.41","SN Ia","0.085","","","Pan-STARRS, YSE, ATLAS","Pan-STARRS, ATLAS","YSE","ATLAS; Pan-STARRS","PS21dls","ATLAS-HKO - ATLAS-02, PS1 - GPC1","NOT - ALFOSC","1","1","","19.9","w-P1","2021-04-29 06:17:16.800","PS1_Bot1","","2021TNSTR1422....1C","2021TNSCR1481....1A",""
"82703","SN 2021kvm","16:59:56.334","-04:25:43.40","SN Ia","0.023169","","","ZTF, ATLAS, Fink, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF21aaxwnlr","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.27","g-ZTF","2021-04-30 10:59:31.200","ZTF_Bot1","","2021TNSTR1424....1F","2021TNSCR1501....1D",""
"82688","SN 2021kux","14:08:39.570","+55:34:35.98","SN Ia","0.073698","SDSS J140839.60+553440.7","0.07373463","ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF21aaxubqf","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.5935","g-ZTF","2021-05-01 06:47:58.001","ALeRCE","","2021TNSTR1412....1F","2021TNSCR1546....1S",""
"82684","SN 2021kut","10:31:29.773","+06:14:33.51","SN Ia","0.0313620009","2MASX J10312956+0614383","0.031362","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21aaxwytv","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.4724","r-ZTF","2021-05-01 04:05:46.000","ALeRCE","","2021TNSTR1412....1F","2021TNSCR1502....1S",""
"82678","SN 2021kun","11:05:39.377","+19:27:37.05","SN Ia","0.097","WISEA J110539.44+192737.1","0.093124","ALeRCE, ATLAS","ZTF, ATLAS","Global SN Project","ATLAS; ZTF","ZTF21aaxxjen","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","FTN - FLOYDS-N","1","1","","19.3284","r-ZTF","2021-05-01 04:35:52.996","ALeRCE","","2021TNSTR1412....1F","2021TNSCR1631....1G",""
"82677","SN 2021kum","11:26:29.334","+47:07:42.46","SN IIb","0.053","SDSS J112629.31+470742.0","","ALeRCE, ATLAS, Pan-STARRS, AMPEL","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF21aaxxmvs","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.8492","r-ZTF","2021-05-01 04:51:49.003","ALeRCE","","2021TNSTR1412....1F","2021TNSCR1835....1D",""
"82676","SN 2021kul","14:17:30.440","+28:48:08.42","SN II","0.035126","IC 4396","0.034891","ALeRCE, GaiaAlerts, ATLAS, AMPEL","ZTF, GaiaAlerts, ATLAS","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF21aaxxoei","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","APO-3.5m - DIS","1","1","","19.3023","g-ZTF","2021-05-01 06:54:45.999","ALeRCE","","2021TNSTR1412....1F","2021TNSCR1665....1G",""
"82673","SN 2021kui","12:57:00.810","+40:26:04.07","SN Ia","0.061249","WISEA J125700.90+402604.3","0.061249","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21aaxyecd","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.9465","g-ZTF","2021-05-01 06:20:01.003","ALeRCE","","2021TNSTR1412....1F","2021TNSCR1575....1S",""
"82665","SN 2021kua","20:07:56.097","+58:42:05.74","SN Ia","0.06","WISEA J200756.18+584203.4","","ALeRCE, ATLAS, Fink","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21aaxzczy","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.4943","g-ZTF","2021-05-01 10:50:40.004","ALeRCE","","2021TNSTR1412....1F","2021TNSCR1724....1S",""
"82663","SN 2021kty","14:18:48.766","+15:00:50.83","SLSN-I","0.159","","","ATLAS, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","None, ZTF","ATLAS; Pan-STARRS; ZTF","ATLAS21nrn","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","Keck1 - LRIS, P200 - DBSP","1","1","","18.953","orange-ATLAS","2021-05-01 09:11:31.200","ATLAS_Bot1","","2021TNSTR1406....1T","2021TNSCR1614....1Y, 2021TNSCR1965....1Y, 2021TNSCR2535....1Y",""
"82661","SN 2021ktw","14:23:30.805","+08:20:41.74","SN Ia","0.09","","","ATLAS, ALeRCE","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS21nqy","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.11","orange-ATLAS","2021-05-01 09:12:57.600","ATLAS_Bot1","","2021TNSTR1406....1T","2021TNSCR1592....1S",""
"82660","SN 2021ktv","11:03:03.883","+08:51:39.74","SN Ic-BL","0.06","","","ATLAS, ALeRCE, Fink","ATLAS, ZTF","SCAT","ATLAS; ZTF","ATLAS21nqw","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","19.501","orange-ATLAS","2021-05-01 07:42:14.400","ATLAS_Bot1","","2021TNSTR1406....1T","2021TNSCR1718....1T",""
"82657","SN 2021kts","23:33:25.283","+21:07:58.72","SN II","0.019","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","TCD","ATLAS; Pan-STARRS; ZTF","ZTF21aaxwcof","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT","1","1","","18.26","r-ZTF","2021-04-30 11:54:14.400","ZTF_Bot1","","2021TNSTR1410....1F","2021TNSCR1846....1H",""
"82630","SN 2021ksr","15:13:41.507","+70:44:36.39","SN Ib","0.053","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","None","ATLAS; Pan-STARRS","ATLAS21nqe","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, PS1 - GPC1","TNG - DOLORES","1","1","","18.918","orange-ATLAS","2021-04-30 10:56:38.400","ATLAS_Bot1","","2021TNSTR1406....1T","2021TNSCR1480....1M",""
"82625","SN 2021ksm","11:37:00.399","+21:23:27.41","SN Ia","0.08","","","ATLAS, AMPEL","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS21nnm","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.077","orange-ATLAS","2021-04-29 09:08:38.400","ATLAS_Bot1","","2021TNSTR1394....1T","2021TNSCR1514....1S",""
"82617","SN 2021kse","16:13:24.588","+60:53:17.44","SN Ia","0.1","SDSS J161324.29+605316.9","","ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF21aaxksct","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.0367","g-ZTF","2021-04-30 05:53:59.004","ALeRCE","","2021TNSTR1392....1M","2021TNSCR1514....1S",""
"82608","SN 2021krv","13:21:08.470","+62:45:00.58","SN Ia","0.034477","MCG +11-16-017","0.034477","ALeRCE, ATLAS, Pan-STARRS, AMPEL","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF21aaxsnvk","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.6993","g-ZTF","2021-04-30 04:25:51.997","ALeRCE","","2021TNSTR1392....1M","2021TNSCR1514....1S",""
"82601","SN 2021kro","13:03:14.477","+51:25:07.08","SN Ia","0.12","SDSS J130314.48+512506.9","","ALeRCE, AMPEL, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21aaxsuik","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.5283","g-ZTF","2021-04-30 04:46:10.004","ALeRCE","","2021TNSTR1392....1M","2021TNSCR1617....1S",""
"82599","SN 2021krm","11:35:24.902","+55:26:56.55","SN Ia","0.072","SDSS J113524.85+552657.1","","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21aaxswlc","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.4591","g-ZTF","2021-04-30 04:51:38.998","ALeRCE","","2021TNSTR1392....1M","2021TNSCR1617....1S",""
"82592","SN 2021krf","12:51:17.443","+00:31:14.73","SN Ic","0.01356","2MASX J12511712+0031138","0.013565","ALeRCE, ATLAS, Pan-STARRS, Fink","ZTF, ATLAS, Pan-STARRS","ePESSTO+, ZTF","ATLAS; Pan-STARRS; ZTF","ZTF21aaxtctv","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT, P60 - SEDM","1","1","","18.0035","g-ZTF","2021-04-30 05:06:04.000","ALeRCE","","2021TNSTR1392....1M","2021TNSCR1479....1P, 2021TNSCR1513....1D",""
"82591","SN 2021kre","13:44:52.831","-07:07:01.50","SN Ia","0.07692","WISEA J134452.28-070706.0","0.07692","ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF21aaxtdrs","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","18.9832","g-ZTF","2021-04-30 05:06:44.997","ALeRCE","","2021TNSTR1392....1M","2021TNSCR1527....1S",""
"82589","SN 2021krc","12:26:32.848","+16:50:50.45","SN II","0.0445","IC 3340","0.045231","ALeRCE, YSE","ZTF, Pan-STARRS","UCSC","Pan-STARRS; ZTF","ZTF21aaxtepe","P48 - ZTF-Cam, PS1 - GPC1","Keck1 - LRIS","1","1","","20.3399","g-ZTF","2021-04-30 05:08:47.996","ALeRCE","","2021TNSTR1392....1M","2021TNSCR1615....1S",""
"82582","SN 2021kqv","15:56:52.040","+78:27:48.96","SN IIn","0.051","UGC 10132","","ALeRCE, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF21aaxtije","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","NOT - ALFOSC","1","1","","19.2165","g-ZTF","2021-04-30 05:25:07.003","ALeRCE","","2021TNSTR1392....1M","2021TNSCR1699....1S",""
"82580","SN 2021kqt","12:47:05.713","+71:19:50.30","SN Ia","0.107","","","ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF21aaxtjvm","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","NOT - ALFOSC","1","1","","19.8329","g-ZTF","2021-04-24 07:43:28.004","ALeRCE","","2021TNSTR1392....1M","2021TNSCR1678....1S",""
"82575","SN 2021kqo","15:33:50.105","+30:56:14.27","SN Ia","0.068","2MASS J15335013+3056137","0.065749","ALeRCE","ZTF","None","ZTF","ZTF21aaxtsqe","P48 - ZTF-Cam","TNG - DOLORES","1","1","","18.9361","g-ZTF","2021-04-30 05:49:14.998","ALeRCE","","2021TNSTR1392....1M","2021TNSCR1500....1M",""
"82570","SN 2021kqj","11:04:58.167","+30:01:46.87","SN II","0.028551","ARP 021","0.028945","ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","SCAT","ATLAS; Pan-STARRS; ZTF","ZTF21aaxtzzj","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","UH88 - SNIFS","1","1","","19.3106","r-ZTF","2021-04-30 06:14:38.999","ALeRCE","","2021TNSTR1392....1M","2021TNSCR1695....1H",""
"82561","SN 2021kqa","10:28:15.010","+10:39:57.06","SN Ia","0.05032","SDSS J102814.96+103958.0","0.0503049","SGLF, ATLAS, Fink, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; SGLF; ZTF","ZTF21aawlwoy","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.991","r-ZTF","2021-04-19 05:05:15.000","Perez-Fournon","","2021TNSTR1399....1P","2021TNSCR1411....1S",""
"82558","SN 2021kpx","09:10:37.960","+68:17:58.06","SN II","0.04","","","ZTF, ATLAS, AMPEL","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21aaxjvyl","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P200 - DBSP","1","1","","19.39","g-ZTF","2021-04-25 07:16:19.200","ZTF_Bot1","","2021TNSTR1402....1F","2021TNSCR1574....1D",""
"82557","SN 2021kpw","16:14:10.660","+75:24:03.95","SN Ia","0.07","","","ZTF, AMPEL, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF21aaxhzru","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","20.71","g-ZTF","2021-04-20 09:21:36.000","ZTF_Bot1","","2021TNSTR1402....1F","2021TNSCR1404....1S",""
"82555","SN 2021kpu","15:22:19.677","+22:40:54.42","SN Ia","0.069","","","ATLAS, ZTF, Fink, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ATLAS21nnj","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.048","orange-ATLAS","2021-04-29 12:33:07.200","ATLAS_Bot1","","2021TNSTR1380....1T","2021TNSCR1430....1S",""
"82526","SN 2021kos","11:40:19.010","+09:00:37.66","SN Ib","0.006114","","","ZTF, Pan-STARRS, GaiaAlerts, ATLAS","ZTF, Pan-STARRS, GaiaAlerts, ATLAS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF21aawmdxw","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT","1","1","","18.34","r-ZTF","2021-04-19 05:25:26.400","ZTF_Bot1","","2021TNSTR1375....1F","2021TNSCR1379....1P",""